"","surgery","release_speed","arm_angle","spin_axis","release_spin_rate","pitch_type","release_pos_z"
"32237","0",101.8,41.6,215,2283,6,5.76
"32238","0",79.7,32.1,50,2566,5,5.43
"32239","0",93.8,29.7,232,2376,3,5.78
"32240","0",81.3,8.3,268,1552,1,4.86
"32241","0",88.3,49.3,50,2754,7,6.2
"32242","0",88.1,44.2,139,2019,6,6.21
"32243","0",92.7,56.7,207,1927,6,5.89
"32244","0",90.9,50.3,156,2219,6,5.83
"32245","0",90.7,54,151,1981,3,6.13
"32246","0",95.2,41,213,2287,6,5.86
"32247","0",95.7,43,212,2214,3,6.17
"32248","0",100.7,20.8,229,2313,3,4.81
"32249","0",94.3,40.6,220,2082,6,5.46
"32250","0",83.3,25.5,292,2383,8,5.29
"32251","0",85.3,55.4,207,2563,7,6.3
"32252","0",89.1,44.1,212,2106,6,5.95
"32253","0",95,38.6,217,2324,6,5.55
"32254","0",95.4,58.4,189,2327,3,6.09
"32255","0",93.4,28.4,126,2411,3,5.03
"32256","0",79.2,13.1,84,1814,1,4.69
"32257","0",92.4,55,195,2164,3,6.35
"32258","0",95,45.6,211,2226,3,6.05
"32259","0",92.5,61.6,195,2260,3,5.92
"32260","0",85.6,30.9,248,2352,7,5.58
"32261","0",88.5,25,127,2234,6,5.84
"32262","0",93.9,51,212,2063,6,6.55
"32263","0",93.5,46,205,2074,3,6.87
"32264","0",90.5,42.4,217,1906,6,6.2
"32265","0",95.3,32.7,221,2176,6,5.82
"32266","0",78.9,48.1,52,2380,2,6.49
"32267","0",87.7,50.6,97,2314,7,6.2
"32268","0",94.1,56.6,211,1917,6,5.88
"32269","0",86.2,54.8,183,2531,7,6.26
"32270","0",98,51.4,194,2296,3,5.99
"32271","0",92.3,47.4,210,2515,3,6.15
"32272","0",77.9,7.8,283,2516,8,4.52
"32273","0",84.9,28.7,241,2362,7,5.43
"32274","0",79.9,58.1,332,2125,7,6.51
"32275","0",95.8,45.9,215,2385,3,6.13
"32276","0",81.6,59.4,65,2587,7,5.92
"32277","0",91.6,35.8,212,2112,6,5.82
"32278","0",93.5,32.6,205,2243,3,5.46
"32279","0",97.4,35,151,2680,3,5.09
"32280","0",87.2,20.5,113,1609,1,5.24
"32281","0",90.6,56.4,149,1871,3,6.18
"32282","0",99,16.9,227,2425,3,4.72
"32283","0",83.7,23,124,1569,1,5.14
"32284","0",83.9,29.4,60,2761,7,5.6
"32285","0",91.2,29.8,227,2308,3,5.44
"32286","0",82,19,62,2314,7,5.3
"32287","0",82.3,47.4,356,2169,2,6.14
"32288","0",79.1,42.1,339,2621,7,5.96
"32289","0",76.9,50.2,307,2347,2,5.77
"32290","0",95.8,46.4,203,2391,3,5.88
"32291","0",81,21.7,69,2782,8,5.09
"32292","0",87.2,53.3,35,3234,7,5.93
"32293","0",87.1,37.4,244,741,4,5.87
"32294","0",80.8,36.5,66,2633,8,5.35
"32295","0",96.2,18.8,226,2179,3,4.98
"32296","0",92.9,54,204,2240,3,6.4
"32297","0",93.5,44.2,151,2451,3,5.86
"32298","0",98.6,51.4,209,2578,3,6.28
"32299","0",95.9,17.1,232,2221,3,5.19
"32300","0",89.9,44,204,2393,3,6.1
"32301","0",79.8,44.4,237,746,4,6
"32302","0",85.1,32.8,53,2638,8,5.52
"32303","0",93.7,61.1,202,2241,3,6.39
"32304","0",76.5,53.6,23,2281,2,6.12
"32305","0",99.5,35.2,214,2261,6,5.71
"32306","0",95.1,39.2,207,2380,6,5.79
"32307","0",95.7,28.8,221,2234,6,5.87
"32308","0",89.5,40.6,211,1939,3,5.29
"32309","0",93.1,41.1,219,2254,3,5.87
"32310","0",93.4,40.3,222,2039,6,5.55
"32311","0",96.4,38,213,2493,3,5.8
"32312","0",95.1,45.6,271,2431,6,5.8
"32313","0",95,42.9,208,2226,3,5.68
"32314","0",83.2,21.2,287,2296,8,5.27
"32315","0",88.6,23.3,247,1972,1,5.39
"32316","0",75.9,34.6,42,3389,2,5.36
"32317","0",92.6,29,128,2348,3,5.04
"32318","0",83.1,49.1,299,2428,7,5.84
"32319","0",97.2,37.9,228,2197,3,5.13
"32320","0",93.7,51,160,2210,3,6.03
"32321","0",92.3,51.5,205,2308,3,6.28
"32322","0",82.9,45,256,1949,1,5.5
"32323","0",82.6,52.8,241,1526,1,6.69
"32324","0",81.3,20,302,2786,7,5.52
"32325","0",95.2,33.6,223,2596,3,5.44
"32326","0",91.8,41.8,149,2218,3,6.01
"32327","0",86.8,52.6,151,1860,1,6.27
"32328","0",86.1,30.2,51,2918,8,5.43
"32329","0",87.7,29.5,235,1848,1,5.42
"32330","0",80.4,41.8,63,2448,8,6.28
"32331","0",98,54.9,209,2171,6,5.97
"32332","0",88.4,23.3,77,2842,7,4.73
"32333","0",89.5,27.1,239,1671,1,5.26
"32334","0",95.1,35.5,222,2612,3,5.52
"32335","0",90.2,44.2,241,1490,1,5.82
"32336","0",86.1,41,136,1431,7,5.91
"32337","0",91.4,58.1,153,1951,3,6.18
"32338","0",93.9,32.9,224,2439,3,5.84
"32339","0",82.3,49.7,136,1430,1,5.87
"32340","0",80.9,58.6,318,1976,7,6.52
"32341","0",83.6,18.8,62,2774,7,5.06
"32342","0",93.9,39.5,215,2366,3,5.78
"32343","0",88,50.3,146,1909,1,6.29
"32344","0",95.8,42.3,213,2217,3,6.09
"32345","0",75.8,49.4,311,2230,2,5.8
"32346","0",90.8,40.1,244,1896,1,5.92
"32347","0",101.1,36,223,2223,6,5.74
"32348","0",76.9,8,274,2516,8,4.55
"32349","0",90.7,32,223,2174,3,5.51
"32350","0",93.5,44.5,213,2393,3,5.38
"32351","0",88.6,35.5,261,2575,7,5.05
"32352","0",84.7,34.6,74,2336,7,5.45
"32353","0",87.6,6.4,255,2033,6,5.01
"32354","0",93.6,67.4,198,2280,3,6.49
"32355","0",83,22.9,58,2765,8,5.18
"32356","0",94.8,46.8,152,2269,3,5.87
"32357","0",79.6,17.1,303,2583,7,5.5
"32358","0",89.6,41.8,146,2310,3,6.1
"32359","0",87.4,52.7,35,3263,7,6
"32360","0",82.2,47.1,133,1470,1,6.01
"32361","0",92.5,50.6,207,2313,3,6.33
"32362","0",93.6,29.5,127,2322,3,4.98
"32363","0",92.2,54.5,196,2134,3,6.34
"32364","0",83.7,32.7,89,2572,8,6.01
"32365","0",94,44.7,214,2271,6,6.17
"32366","0",92.6,26,207,2690,6,5.33
"32367","0",100.3,35.5,214,2274,6,5.67
"32368","0",89.7,25,137,2438,3,5.26
"32369","0",97.8,53.4,174,1666,3,6.26
"32370","0",95.8,46.4,205,2432,3,5.89
"32371","0",95.3,40.9,213,2280,6,5.57
"32372","0",91.3,23,250,2055,1,5.27
"32373","0",86.2,25.2,112,1564,1,5.32
"32374","0",86.2,38.7,18,2113,5,5.95
"32375","0",97.1,53.2,200,2301,3,6.02
"32376","0",95,27.6,225,2533,3,5.33
"32377","0",86.4,32.4,56,2973,8,5.56
"32378","0",94.3,35.8,237,1828,6,5.67
"32379","0",89.2,52.1,164,2364,3,6.18
"32380","0",93.9,39.5,215,2366,3,5.78
"32381","0",89.9,39.2,237,2034,1,5.63
"32382","0",86.9,39.3,233,1613,1,5.58
"32383","0",98.9,58.5,193,2392,3,6.71
"32384","0",97.7,47.3,214,2423,3,5.54
"32385","0",86,50.6,77,2361,7,6.16
"32386","0",91.3,47.9,209,2522,3,6.21
"32387","0",81.9,32.6,110,1993,7,5.03
"32388","0",82.5,21.5,281,2376,8,5.19
"32389","0",85,59.1,95,2306,7,5.93
"32390","0",93.5,39.1,214,2158,6,5.85
"32391","0",94.1,53.5,210,2141,3,6.92
"32392","0",95.2,43.6,213,1983,3,6.16
"32393","0",96,18.4,241,2193,3,5.1
"32394","0",91.1,39.6,143,2410,3,5.87
"32395","0",82.6,43.5,66,2674,8,5.89
"32396","0",97,33.7,218,2232,3,5.17
"32397","0",80.7,51.5,56,2270,8,5.84
"32398","0",89.7,32.4,240,2026,1,5.74
"32399","0",81.2,52.9,251,1477,1,6.76
"32400","0",93,25.2,136,2024,6,5.31
